,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
113,Andrea Llosa Barreto,Andrea_Llosa,228159,918,7,0
114,Maritere Braschi,MaritereBraschi,78751,530,7,8
115,Marisel Linares,ChinitaMarisel,47291,324,6,9
116,Perla Berríos,perlaberrios,50160,555,7,7
117,Melissa Peschiera,MelissaPeschier,63783,1073,6,4
118,Carlos Cornejo A.,CarlosCornejoA,18472,520,7,8
119,Chío La Rosa,chiolaro,4265,2266,8,9
120,Mario Mejia Huaraca,mariomejiah,8185,690,8,10
121,Cecilia Rosales F,ceciliarosalesf,8833,393,8,4
122,Paco Flores 🇵🇪 🏳️‍🌈,pacofloresc,20995,992,9,2
123,Renato Canales M,renatocanales,13012,992,8,11
124,Carla Harada,carlaharada,14536,1094,7,8
125,Marisol García,mgarciafreundt,45149,548,5,3
126,Graciela Villasís,gvillasis,15120,679,7,0
127,Manuela Camacho 💚,ManuCamacho,22994,472,10,1
128,Rafael Poulain △⃒⃘ ⚯͛,RafaelPoulain,148102,26,8,8
129,Ernesto Carrasco,ecarrascobe,7702,2392,9,4
130,Martín Vizcarra,MartinVizcarraC,407240,572,2,7
131,Trendsmap Peru,TrendsmapPeru,39577,3121,7,10
132,Trendsmap Lima,TrendsLima,107043,5160,8,4
133,Mavila Huertas C,MavilaHuertasC,19404,964,1,2
134,El Comercio,elcomercio_peru,61108,350,7,8
135,Paolo Benza,paolobenza,318,124,4,5
136,Resumen de Películas,PelisResumidas,144963,0,4,8
137,Ivan Lanegra,ilanegra,51644,1848,8,10
138,Palabras bastardas,Palabrastardas,3640,832,1,11
139,Patricia Gamarra,patriciagamarra,22687,687,8,10
140,Kike Bravo Prado,KikeBravoPrado,16602,1944,9,1
141,beto ortiz,malditaternura,3561185,2009,7,6
142,Marité Bustamante,MariteBustamant,4828,1176,5,4
143,Lima NO PARA,LimaNOpara,4944,841,5,10
144,Hernán Núñez,hernunez,8557,490,7,6
145,Augusto Rey,augustoreyh,37541,1325,7,9
146,Equipo #SíSeAtreve,SiSeAtreve,1886,174,4,2
147,Lima Nuestra,LimaesNuestra,2852,149,3,4
148,Habla Castañeda,HablaCastaneda,5132,239,2,2
149,Jaime Saavedra,JaimeSaavedra22,14445,613,6,11
150,César Acuña Peralta,CesarAcunaP,50821,3149,8,1
151,Puros Chistes!,EresChiste,2471156,179,7,8
152,Alejandra Aramayo,AleAramayoGaona,7718,414,2,2
153,Jaime de Althaus,jdealthaus,383503,264,8,8
154,Catarsis y Harakiri,blogcyh,19502,1993,7,2
155,Martha Chávez Cossío,MarthaChavezC,113480,688,7,7
156,Luz Salgado,LuzSalgado_R,80440,185,6,7
157,TRICICLO PERU,TRICICLODELPERU,37555,2571,4,3
158,Mαr Mounier,elhigadodmarita,59726,753,8,11
159,Eugenio D'Medina,eudmed,20235,1095,8,5
160,A Bocajarro,abocajarroperu,33547,302,4,5
161,Diario Ojo,diarioojo,293308,607,9,3
162,Buenos Días Perú,BDPTV,293866,37,7,5
163,Latina Noticias,Latina_Noticias,513123,239,8,11
164,UDEAL,udealima,3632,555,3,4
165,Revista Somos,SomosElComercio,374935,1233,7,7
166,Tierra Perú,tierrape1,443128,1119,9,3
167,Espectáculos,RPPEspectaculos,45508,1046,9,2
168,Luces El Comercio,Luces_ECpe,39201,1046,4,8
169,TV+ El Comercio,TVmas_ECpe,47385,394,4,8
170,Dori Toribio,DoriToribio,41929,2690,8,0
171,Altavoz,altavozpe,18253,893,5,5
172,Guillermo Giacosa,GiacosaGiacosa,14633,81,5,11
173,FuncióndelaPalabra,Funcion_Palabra,8092,160,3,2
174,Carlos Rivera Paz,IDL_Rivera,14922,288,8,1
175,Alexandra Hörler,alexandrahorler,119232,96,6,8
176,Ricardo Morán,RicardoMoran,1764842,125,9,4
177,Fernando Armas Carlo,FernandoArmasCa,1018577,2503,6,10
178,Ideeleradio,ideeleradio,68567,1715,9,2
179,Revista PODER Perú,PODERPeru,27620,425,6,2
180,Radio San Borja,RadioSanBorja,33204,1564,8,5
181,Gisella Orjeda,gorjeda,11808,836,9,1
182,Hugo Coya,Hcoya,35294,1370,9,5
183,aleonca,aleonca,16399,1035,9,1
184,Martín Hidalgo,martinhidalgo,122528,2199,9,4
185,Susel Paredes,suselparedes,23873,749,9,0
186,Sergio Tejada,sergiotej,58298,545,8,11
187,Ronald Gamarra,ronaldgamarra,122583,713,8,8
188,ATV Noticias,atv_noticias,984788,348,8,3
189,Político.pe,Politico_pe,31576,728,4,5
190,Laura Arroyo,menoscanas,20602,2521,9,0
191,fernando vivas,arkadin1,10262,529,9,2
192,Claudia Izaguirre,claudiaizaguirr,11504,982,9,9
193,Mariella Patriau,MariellaPatriau,108884,628,8,2
194,SEMANAeconómica,SEMANAeconomica,324205,363,9,5
195,Esther Vargas,esthervargasc,65507,5777,10,7
196,ATV,atvpe,459630,127,8,3
197,MariaCeciliaVillegas,C_Irreverencias,11790,704,6,10
198,Elmer Huerta,drhuerta,50643,209,10,0
199,M. A. Bastenier,MABastenier,168120,1299,6,4
200,Carla Tello R,CarlaTello_R,33192,1093,11,4
201,leggiere,leggiere,8376,318,9,10
202,Lourdes Paucar,LourdesPaucar_,8909,680,8,11
203,🔥 Marco Sifuentes,ocram,147732,1648,11,5
204,Jonathan Castro,jsudaka,24573,2197,9,11
205,Enrique Patriau,epatriau,20227,914,8,0
206,Juan Sheput,JuanSheput,165312,2651,9,4
207,Adolfo Bazan,ABazanC,7414,604,9,3
208,Lorena Alvarez,lorealvareza,163551,760,7,9
209,Pedro Ortiz Bisso,orbisa35,34621,3470,9,4
210,Pamela Acosta,piacostar,36375,1159,10,0
211,Mónica Sánchez,21Cordeliamar,508195,823,5,4
212,Alejandro Toledo,AlejandroToledo,362136,299,9,4
213,Fernando Zavala,fzavalal,204348,772,9,4
214,Marisa Glave,MarisaGlave,255362,612,8,1
215,Verónika Mendoza,Vero_Mendoza_F,396543,714,7,0
216,🤔Laura Grados,Lauletras,17184,1171,8,4
217,Emilio Camacho,CamachoEmilio,11192,361,8,11
218,Juan Hidalgo,Prehidalgo,2725,664,9,7
219,SeñoraE🔥,ElianaCarlin,6437,3931,9,3
220,Alicia Retto,aliciaretto,19040,764,9,0
221,Christian Sotomayor,leydelacalle,27644,2143,8,5
222,Adolfo Bolivar,adolfobolivar4,220389,1417,5,5
223,Hugo Ñopo,hugonopo,10470,838,9,9
224,Imágenes Históricas,HistoriaEnFotos,963996,1,5,8
225,Old Pics Archive,oldpicsarchive,587096,0,4,4
226,Julio Guzmán,julioguzmanperu,346494,762,3,6
227,Ariana Lira,arianalirad,7623,686,6,3
228,Monica Cépeda,monich16,25883,2589,9,3
